escobarianum,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,WARN,PASS
eustirum,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS
excisum,PASS,PASS,PASS,PASS,PASS,WARN,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,WARN,WARN,PASS,PASS
falsigarayi,PASS,PASS,PASS,PASS,WARN,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,PASS,WARN,WARN,WARN,PASS
ferreyrae,PASS,PASS,PASS,PASS,PASS,WARN,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,WARN,WARN,PASS,PASS
flexuosum,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS
galeottianum,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS
glossaspis,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS
guanacastense,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,PASS,WARN,WARN,WARN,PASS
hagsateri,PASS,PASS,PASS,PASS,PASS,WARN,PASS,WARN,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,WARN,FAIL,PASS,PASS
hassleri,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,WARN,PASS
heterodoxum,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,WARN,WARN,PASS,PASS
hueycantenanguense,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS
hymenodes,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS
ilinizae,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS
insignificans,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS
jamesonis,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS
jimburense,PASS,PASS,PASS,PASS,WARN,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,PASS,WARN,WARN,PASS,PASS
kockii,PASS,PASS,PASS,PASS,PASS,WARN,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,WARN,WARN,PASS,PASS
